Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
Elyas,6.1,1600.0,1h 45m,Action,105.0,Standard,< 2 hrs
Fighter,6.2,53000.0,2h 46m,Action,166.0,150+ min,2–3 hrs
Aavesham,7.8,29000.0,2h 35m,Action,155.0,150+ min,2–3 hrs
Devara Part 1,6.0,21000.0,2h 56m,Action,176.0,150+ min,2–3 hrs
Amaran,8.1,20000.0,2h 47m,Action,167.0,150+ min,2–3 hrs
Weekend in Taipei,5.7,5400.0,1h 40m,Action,100.0,Standard,< 2 hrs
Twilight of the Warriors: Walled In,6.9,10000.0,2h 6m,Action,126.0,120-150 min,2–3 hrs
Descendants: The Rise of Red,4.7,7300.0,1h 31m,Action,91.0,Standard,< 2 hrs
Aftermath,5.1,4400.0,1h 37m,Action,97.0,Standard,< 2 hrs
Red Right Hand,5.5,6100.0,1h 51m,Action,111.0,Standard,< 2 hrs
Baby John,5.1,17000.0,2h 39m,Action,159.0,150+ min,2–3 hrs
Ultraman: Rising,6.9,6700.0,1h 57m,Action,117.0,Standard,< 2 hrs
Watchmen: Chapter I,7.1,7000.0,1h 23m,Action,83.0,Short,< 2 hrs
Escape from the 21st Century,6.4,1000.0,1h 38m,Action,98.0,Standard,< 2 hrs
I Am What I Am 2,7.5,385.0,2h 14m,Action,134.0,120-150 min,2–3 hrs
My Spy: The Eternal City,5.7,11000.0,1h 52m,Action,112.0,Standard,< 2 hrs
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800.0,1h 44m,Action,104.0,Standard,< 2 hrs
Saripodhaa Sanivaaram,7.0,10000.0,2h 46m,Action,166.0,150+ min,2–3 hrs
The Quiet Ones,6.1,1100.0,1h 50m,Action,110.0,Standard,< 2 hrs
Justice League: Crisis on Infinite Earths - Part One,6.2,8800.0,1h 33m,Action,93.0,Standard,< 2 hrs
Cash Out,4.8,3200.0,1h 32m,Action,92.0,Standard,< 2 hrs
Justice League: Crisis on Infinite Earths - Part Three,6.0,4800.0,1h 34m,Action,94.0,Standard,< 2 hrs
The Family Star,5.4,5600.0,2h 39m,Action,159.0,150+ min,2–3 hrs
Stand Your Ground,4.7,245.0,1h 40m,Action,100.0,Standard,< 2 hrs
Damaged,4.7,7600.0,1h 37m,Action,97.0,Standard,< 2 hrs
Singham Again,4.6,75000.0,2h 24m,Action,144.0,120-150 min,2–3 hrs
Chief of Station,4.7,4800.0,1h 37m,Action,97.0,Standard,< 2 hrs
Utopia,3.7,435.0,1h 31m,Action,91.0,Standard,< 2 hrs
Paradox Effect,5.9,9600.0,1h 27m,Action,87.0,Short,< 2 hrs
Badland Hunters,5.9,13000.0,1h 47m,Action,107.0,Standard,< 2 hrs
Code 8: Part II,5.7,16000.0,1h 40m,Action,100.0,Standard,< 2 hrs
Armor,3.6,4600.0,1h 29m,Action,89.0,Short,< 2 hrs
Officer Black Belt,6.9,8800.0,1h 48m,Action,108.0,Standard,< 2 hrs
Justice League: Crisis on Infinite Earths - Part Two,5.5,5600.0,1h 34m,Action,94.0,Standard,< 2 hrs
Chandu Champion,7.8,35000.0,2h 22m,Action,142.0,120-150 min,2–3 hrs
Revolver,5.4,926.0,1h 54m,Action,114.0,Standard,< 2 hrs
Duchess,4.6,1600.0,1h 54m,Action,114.0,Standard,< 2 hrs
My Hero Academia: You're Next,6.9,2600.0,1h 50m,Action,110.0,Standard,< 2 hrs
Watchmen: Chapter II,7.1,3500.0,1h 30m,Action,90.0,Standard,< 2 hrs
Agni,7.2,15000.0,2h 2m,Action,122.0,120-150 min,2–3 hrs
Striking Rescue,5.6,699.0,1h 51m,Action,111.0,Standard,< 2 hrs
Thangalaan,6.5,6800.0,2h 36m,Action,156.0,150+ min,2–3 hrs
The Thundermans Return,5.0,1900.0,1h 10m,Action,70.0,Short,< 2 hrs
Alien: Rubicon,2.5,464.0,1h 26m,Action,86.0,Short,< 2 hrs
Cells at Work!,6.7,918.0,1h 49m,Action,109.0,Standard,< 2 hrs
A.R.M,7.1,9000.0,2h 30m,Action,150.0,120-150 min,2–3 hrs
Matka,4.7,608.0,2h 36m,Action,156.0,150+ min,2–3 hrs
The Twisters,2.6,429.0,1h 26m,Action,86.0,Short,< 2 hrs
Long Gone Heroes,5.1,1300.0,1h 41m,Action,101.0,Standard,< 2 hrs
Dominique,5.3,2400.0,1h 40m,Action,100.0,Standard,< 2 hrs
Prey,3.7,3500.0,1h 26m,Action,86.0,Short,< 2 hrs
Sasan,8.8,90.0,2h 35m,Action,155.0,150+ min,2–3 hrs
Agent Recon,2.4,756.0,1h 25m,Action,85.0,Short,< 2 hrs
Life After Fighting,6.4,2200.0,2h 6m,Action,126.0,120-150 min,2–3 hrs
No Way Up,4.6,11000.0,1h 30m,Action,90.0,Standard,< 2 hrs
Trouble,6.2,7200.0,1h 38m,Action,98.0,Standard,< 2 hrs
Vedaa,6.0,4500.0,2h 25m,Action,145.0,120-150 min,2–3 hrs
The Courier,6.0,4600.0,1h 41m,Action,101.0,Standard,< 2 hrs
Toofan,7.3,8700.0,2h 25m,Action,145.0,120-150 min,2–3 hrs
One Fast Move,5.0,2300.0,1h 48m,Action,108.0,Standard,< 2 hrs
Everybody Loves Jenifa,8.3,98.0,2h 15m,Action,135.0,120-150 min,2–3 hrs
Baby Assassins: Nice Days,7.2,356.0,1h 43m,Action,103.0,Standard,< 2 hrs
Bougainvillea,6.4,3400.0,2h 18m,Action,138.0,120-150 min,2–3 hrs
Classified,3.7,2800.0,1h 45m,Action,105.0,Standard,< 2 hrs
The Roundup: Punishment,6.6,5700.0,1h 49m,Action,109.0,Standard,< 2 hrs
Bagheera,6.7,7600.0,2h 38m,Action,158.0,150+ min,2–3 hrs
Hitpig,5.1,1100.0,1h 26m,Action,86.0,Short,< 2 hrs
The Last Front,5.5,640.0,1h 38m,Action,98.0,Standard,< 2 hrs
The Greatest of All Time,5.7,23000.0,3h 3m,Action,183.0,150+ min,3–4 hrs
Guntur Kaaram,5.4,25000.0,2h 39m,Action,159.0,150+ min,2–3 hrs
One More Shot,5.4,3800.0,1h 43m,Action,103.0,Standard,< 2 hrs
Hagen,6.1,1400.0,2h 19m,Action,139.0,120-150 min,2–3 hrs
Big City Greens the Movie: Spacecation,6.2,587.0,1h 23m,Action,83.0,Short,< 2 hrs
Pani,6.9,3400.0,2h 23m,Action,143.0,120-150 min,2–3 hrs
Kill Em All 2,4.1,1400.0,1h 28m,Action,88.0,Short,< 2 hrs
Raayan,6.5,11000.0,2h 25m,Action,145.0,120-150 min,2–3 hrs
Harbin,6.2,985.0,1h 48m,Action,108.0,Standard,< 2 hrs
Sikandar Ka Muqaddar,5.9,25000.0,2h 22m,Action,142.0,120-150 min,2–3 hrs
Kanguva,4.5,15000.0,2h 32m,Action,152.0,150+ min,2–3 hrs
Invasion,4.8,755.0,1h 31m,Action,91.0,Standard,< 2 hrs
The Price of Money: A Largo Winch Adventure,5.1,1300.0,1h 40m,Action,100.0,Standard,< 2 hrs
Martin,2.2,36000.0,2h 27m,Action,147.0,120-150 min,2–3 hrs
Despatch,4.4,4500.0,2h 33m,Action,153.0,150+ min,2–3 hrs
Uch Qahramon,7.3,105.0,,Action,,150+ min,3–4 hrs
Escape,6.4,2200.0,1h 34m,Action,94.0,Standard,< 2 hrs
Levels,5.0,1600.0,1h 33m,Action,93.0,Standard,< 2 hrs
The Clean Up Crew,4.2,1300.0,1h 35m,Action,95.0,Standard,< 2 hrs
Khadaan,7.0,2200.0,2h 17m,Action,137.0,120-150 min,2–3 hrs
Shark Warning,3.5,376.0,1h 34m,Action,94.0,Standard,< 2 hrs
Viduthalai Part 2,7.8,17000.0,2h 50m,Action,170.0,150+ min,2–3 hrs
Por,5.1,627.0,2h 34m,Action,154.0,150+ min,2–3 hrs
Rifle Club,7.0,4600.0,1h 53m,Action,113.0,Standard,< 2 hrs
Gandhi 3,5.7,247.0,2h 23m,Action,143.0,120-150 min,2–3 hrs
Shoutai,6.8,709.0,,Action,,150+ min,3–4 hrs
Devil's Knight,5.3,966.0,1h 30m,Action,90.0,Standard,< 2 hrs
Hounds of War,4.5,2000.0,1h 35m,Action,95.0,Standard,< 2 hrs
Overlord: The Sacred Kingdom,6.9,1500.0,2h 15m,Action,135.0,120-150 min,2–3 hrs
Mafia Wars,3.6,289.0,1h 38m,Action,98.0,Standard,< 2 hrs
Article 370,7.8,25000.0,2h 38m,Action,158.0,150+ min,2–3 hrs
Bachhala Malli,8.2,4000.0,2h 20m,Action,140.0,120-150 min,2–3 hrs
In the Fire of War,7.1,209.0,1h 55m,Action,115.0,Standard,< 2 hrs
Je Jatt Vigarh Gya,5.6,836.0,2h 12m,Action,132.0,120-150 min,2–3 hrs
DNA,5.1,218.0,2h 36m,Action,156.0,150+ min,2–3 hrs
Bidurbhai,9.1,413.0,2h 28m,Action,148.0,120-150 min,2–3 hrs
Rats!,6.5,207.0,1h 25m,Action,85.0,Short,< 2 hrs
Megamind vs. The Doom Syndicate,2.5,5700.0,1h 23m,Action,83.0,Short,< 2 hrs
Darkness of Man,4.7,3300.0,1h 49m,Action,109.0,Standard,< 2 hrs
Lights Out,4.9,1900.0,1h 30m,Action,90.0,Standard,< 2 hrs
Eye for an Eye 2,6.6,554.0,1h 30m,Action,90.0,Standard,< 2 hrs
Fighting the Fire,8.2,1700.0,1h 55m,Action,115.0,Standard,< 2 hrs
Air Force One Down,4.4,3000.0,1h 24m,Action,84.0,Short,< 2 hrs
Uninvited,5.6,341.0,1h 33m,Action,93.0,Standard,< 2 hrs
Peter Five Eight,3.5,1100.0,1h 40m,Action,100.0,Standard,< 2 hrs
Sons of Rizk 3,6.6,1800.0,2h 5m,Action,125.0,120-150 min,2–3 hrs
Bade Miyan Chote Miyan,3.8,39000.0,2h 43m,Action,163.0,150+ min,2–3 hrs
City Hunter,6.3,5800.0,1h 42m,Action,102.0,Standard,< 2 hrs
Yodha,5.7,9000.0,2h 10m,Action,130.0,120-150 min,2–3 hrs
Where Is Gilgamesh?,8.9,640.0,1h 30m,Action,90.0,Standard,< 2 hrs
The Waiter,8.2,30.0,,Action,,150+ min,3–4 hrs
The Tiger's Apprentice,5.8,2300.0,1h 24m,Action,84.0,Short,< 2 hrs
Murder Company,3.6,1600.0,1h 26m,Action,86.0,Short,< 2 hrs
The Wages of Fear,4.6,4200.0,1h 44m,Action,104.0,Standard,< 2 hrs
S.T.A.L.K.E.R.: Shadow of the Zone,4.8,643.0,1h 11m,Action,71.0,Short,< 2 hrs
Golden Kamuy,6.3,2700.0,2h 7m,Action,127.0,120-150 min,2–3 hrs
Kallu Compound 1995,7.9,2000.0,2h 20m,Action,140.0,120-150 min,2–3 hrs
How to Rob a Bank,6.6,4300.0,1h 28m,Action,88.0,Short,< 2 hrs
Yudhra,4.9,13000.0,2h 22m,Action,142.0,120-150 min,2–3 hrs
Continental Split,3.5,571.0,1h 28m,Action,88.0,Short,< 2 hrs
The Ballad of Davy Crockett,4.6,265.0,1h 36m,Action,96.0,Standard,< 2 hrs
The Last Kumite,4.6,2400.0,1h 45m,Action,105.0,Standard,< 2 hrs
Sunray: Fallen Soldier,4.3,706.0,1h 55m,Action,115.0,Standard,< 2 hrs
Hanu Man,7.7,29000.0,2h 38m,Action,158.0,150+ min,2–3 hrs
A Legend,4.7,1000.0,2h 9m,Action,129.0,120-150 min,2–3 hrs
War of the Worlds: Extinction,3.0,218.0,1h 24m,Action,84.0,Short,< 2 hrs
Mobile Suit Gundam SEED Freedom,6.6,984.0,2h 4m,Action,124.0,120-150 min,2–3 hrs
Snow White and the Seven Samurai,3.2,315.0,1h 28m,Action,88.0,Short,< 2 hrs
Panda Plan,5.1,1500.0,1h 39m,Action,99.0,Standard,< 2 hrs
24 Hours to D-Day,3.5,85.0,1h 23m,Action,83.0,Short,< 2 hrs
Troubleshooters,6.4,436.0,1h 50m,Action,110.0,Standard,< 2 hrs
Jigra,6.0,24000.0,2h 33m,Action,153.0,150+ min,2–3 hrs
Kizumonogatari: Koyomi Vamp,7.0,111.0,2h 24m,Action,144.0,120-150 min,2–3 hrs
Black Heat,8.2,137.0,1h 33m,Action,93.0,Standard,< 2 hrs
Crisis Negotiators,6.7,751.0,,Action,,150+ min,3–4 hrs
Sikaar,8.3,688.0,2h 30m,Action,150.0,120-150 min,2–3 hrs
Hunt the Wicked,5.4,179.0,1h 42m,Action,102.0,Standard,< 2 hrs
Die Hart 2: Die Harter,4.3,5600.0,1h 32m,Action,92.0,Standard,< 2 hrs
Shekko,5.9,616.0,,Action,,150+ min,3–4 hrs
Vettaiyan,6.9,40000.0,2h 43m,Action,163.0,150+ min,2–3 hrs
Vanvaas,6.6,1500.0,2h 40m,Action,160.0,150+ min,2–3 hrs
"I, the Executioner",6.3,2000.0,1h 58m,Action,118.0,Standard,< 2 hrs
Anora,7.5,206000.0,2h 19m,Comedy,139.0,120-150 min,2–3 hrs
Friendship,7.0,13000.0,1h 40m,Comedy,100.0,Standard,< 2 hrs
F*** Marry Kill,5.3,3100.0,1h 37m,Comedy,97.0,Standard,< 2 hrs
A Real Pain,7.1,106000.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Moana 2,6.5,110000.0,1h 40m,Comedy,100.0,Standard,< 2 hrs
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,6000.0,1h 31m,Comedy,91.0,Standard,< 2 hrs
Sister Midnight,5.9,1100.0,1h 47m,Comedy,107.0,Standard,< 2 hrs
The Idea of You,6.3,75000.0,1h 55m,Comedy,115.0,Standard,< 2 hrs
Challengers,7.0,159000.0,2h 11m,Comedy,131.0,120-150 min,2–3 hrs
Inside Out 2,7.5,223000.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
Ghostbusters: Frozen Empire,6.1,96000.0,1h 55m,Comedy,115.0,Standard,< 2 hrs
Saturday Night,6.9,33000.0,1h 49m,Comedy,109.0,Standard,< 2 hrs
My Old Ass,6.9,42000.0,1h 29m,Comedy,89.0,Short,< 2 hrs
Paddington in Peru,6.7,26000.0,1h 46m,Comedy,106.0,Standard,< 2 hrs
Despicable Me 4,6.2,69000.0,1h 34m,Comedy,94.0,Standard,< 2 hrs
Distant,5.7,3800.0,1h 27m,Comedy,87.0,Short,< 2 hrs
A Different Man,6.9,32000.0,1h 52m,Comedy,112.0,Standard,< 2 hrs
IF,6.4,60000.0,1h 44m,Comedy,104.0,Standard,< 2 hrs
Kneecap,7.6,20000.0,1h 45m,Comedy,105.0,Standard,< 2 hrs
Fly Me to the Moon,6.6,52000.0,2h 12m,Comedy,132.0,120-150 min,2–3 hrs
Mean Girls,5.5,38000.0,1h 52m,Comedy,112.0,Standard,< 2 hrs
The Friend,6.3,3200.0,1h 59m,Comedy,119.0,Standard,< 2 hrs
Snack Shack,7.0,13000.0,1h 52m,Comedy,112.0,Standard,< 2 hrs
It's What's Inside,6.6,44000.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Goodrich,6.3,6200.0,1h 50m,Comedy,110.0,Standard,< 2 hrs
A Nice Indian Boy,7.4,2300.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
A Family Affair,5.4,37000.0,1h 51m,Comedy,111.0,Standard,< 2 hrs
The Wonderful Story of Henry Sugar and Three More,7.1,8300.0,1h 28m,Comedy,88.0,Short,< 2 hrs
Wallace & Gromit: Vengeance Most Fowl,7.5,36000.0,1h 22m,Comedy,82.0,Short,< 2 hrs
Skincare,5.7,4900.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
Ricky Stanicky,6.2,57000.0,1h 53m,Comedy,113.0,Standard,< 2 hrs
How to Make Millions Before Grandma Dies,7.9,17000.0,2h 5m,Comedy,125.0,120-150 min,2–3 hrs
Incoming,5.8,14000.0,1h 31m,Comedy,91.0,Standard,< 2 hrs
Greedy People,6.2,13000.0,1h 52m,Comedy,112.0,Standard,< 2 hrs
Riff Raff,5.6,4000.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Upgraded,6.1,30000.0,1h 44m,Comedy,104.0,Standard,< 2 hrs
Jane Austen Wrecked My Life,6.5,830.0,1h 38m,Comedy,98.0,Standard,< 2 hrs
Miller's Girl,5.2,24000.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
Sketch,8.3,76.0,1h 32m,Comedy,92.0,Standard,< 2 hrs
Spermageddon,5.6,1100.0,1h 20m,Comedy,80.0,Short,< 2 hrs
Four Mothers,7.1,471.0,1h 29m,Comedy,89.0,Short,< 2 hrs
Holy Cow,7.1,2600.0,1h 32m,Comedy,92.0,Standard,< 2 hrs
Hard Truths,7.2,6500.0,1h 37m,Comedy,97.0,Standard,< 2 hrs
Vulgar,5.4,195.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Superboys of Malegaon,7.7,5800.0,2h 7m,Comedy,127.0,120-150 min,2–3 hrs
My Dead Friend Zoe,6.5,2800.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Bad Shabbos,7.1,297.0,1h 24m,Comedy,84.0,Short,< 2 hrs
Bob Trevino Likes It,7.5,2300.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
The Garfield Movie,5.7,25000.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
Dìdi,7.3,14000.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
Luv Ki Arrange Marriage,4.1,4900.0,2h 15m,Comedy,135.0,120-150 min,2–3 hrs
Stealing Pulp Fiction,6.1,36.0,1h 18m,Comedy,78.0,Short,< 2 hrs
Tim Travers & the Time Travelers Paradox,6.8,337.0,1h 35m,Comedy,95.0,Standard,< 2 hrs
The Uninvited,5.3,739.0,1h 37m,Comedy,97.0,Standard,< 2 hrs
Sacramento,5.9,1700.0,1h 29m,Comedy,89.0,Short,< 2 hrs
Sew Torn,6.0,762.0,1h 40m,Comedy,100.0,Standard,< 2 hrs
Ghostlight,7.6,6400.0,1h 55m,Comedy,115.0,Standard,< 2 hrs
The Marching Band,7.4,4000.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Piece by Piece,6.9,6200.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
Sweethearts,5.6,4200.0,1h 38m,Comedy,98.0,Standard,< 2 hrs
Unfrosted,5.5,35000.0,1h 37m,Comedy,97.0,Standard,< 2 hrs
Spellbound,5.5,8000.0,1h 49m,Comedy,109.0,Standard,< 2 hrs
Mother of the Bride,4.8,17000.0,1h 28m,Comedy,88.0,Short,< 2 hrs
Universal Language,6.9,1900.0,1h 29m,Comedy,89.0,Short,< 2 hrs
Turn Me On,5.6,726.0,1h 39m,Comedy,99.0,Standard,< 2 hrs
On Becoming a Guinea Fowl,7.0,1200.0,1h 39m,Comedy,99.0,Standard,< 2 hrs
Teri Baaton Mein Aisa Uljha Jiya,6.2,54000.0,2h 21m,Comedy,141.0,120-150 min,2–3 hrs
Harold and the Purple Crayon,5.7,8900.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Simarik,5.4,3900.0,1h 51m,Comedy,111.0,Standard,< 2 hrs
Find Me Falling,6.3,13000.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
Let's Start a Cult,5.9,1600.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Our Little Secret,5.7,24000.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
Feeling Randy,7.2,511.0,1h 21m,Comedy,81.0,Short,< 2 hrs
Misericordia,6.8,2600.0,1h 44m,Comedy,104.0,Standard,< 2 hrs
Premalu,7.8,20000.0,2h 36m,Comedy,156.0,150+ min,2–3 hrs
My Favourite Cake,7.4,7800.0,1h 37m,Comedy,97.0,Standard,< 2 hrs
Irish Wish,5.2,22000.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
Sookshma Darshini,7.8,11000.0,2h 22m,Comedy,142.0,120-150 min,2–3 hrs
Sasquatch Sunset,5.4,5600.0,1h 28m,Comedy,88.0,Short,< 2 hrs
Winner,6.5,2700.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,6.2,1500.0,1h 42m,Comedy,102.0,Standard,< 2 hrs
Orion and the Dark,6.3,18000.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
And the Breadwinner Is...,6.0,463.0,2h 3m,Comedy,123.0,120-150 min,2–3 hrs
Adult Best Friends,5.3,515.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Kalvan,5.6,998.0,2h 22m,Comedy,142.0,120-150 min,2–3 hrs
Family Pack,5.5,9700.0,1h 34m,Comedy,94.0,Standard,< 2 hrs
Miracle Mirrors,5.4,269.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Eephus,6.8,1000.0,1h 39m,Comedy,99.0,Standard,< 2 hrs
Dear Santa,5.4,19000.0,1h 47m,Comedy,107.0,Standard,< 2 hrs
Pabar,8.1,270.0,2h 39m,Comedy,159.0,150+ min,2–3 hrs
Lake George,6.5,1600.0,1h 58m,Comedy,118.0,Standard,< 2 hrs
Meet the Barbarians,6.3,658.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
Lepattanó,5.2,132.0,2h 20m,Comedy,140.0,120-150 min,2–3 hrs
Babes,6.3,6600.0,1h 44m,Comedy,104.0,Standard,< 2 hrs
Through My Window: Looking at You,5.5,5500.0,1h 45m,Comedy,105.0,Standard,< 2 hrs
The Visitor,4.1,380.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
The 4:30 Movie,6.0,4000.0,1h 27m,Comedy,87.0,Short,< 2 hrs
Doraemon the Movie: Nobita's Earth Symphony,6.6,1600.0,1h 55m,Comedy,115.0,Standard,< 2 hrs
Crayon Shin-chan: Our Dinosaur Diary,6.6,614.0,1h 46m,Comedy,106.0,Standard,< 2 hrs
The Astronaut Lovers,7.1,955.0,1h 56m,Comedy,116.0,Standard,< 2 hrs
Peacock,7.2,594.0,1h 42m,Comedy,102.0,Standard,< 2 hrs
Manamey,5.3,772.0,2h 35m,Comedy,155.0,150+ min,2–3 hrs
Sthanarthi Sreekuttan,7.2,1600.0,2h 15m,Comedy,135.0,120-150 min,2–3 hrs
Opa Cor,5.8,326.0,1h 26m,Comedy,86.0,Short,< 2 hrs
Bookworm,6.0,2100.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Three Friends,6.6,850.0,1h 57m,Comedy,117.0,Standard,< 2 hrs
The Merry Gentlemen,4.8,10000.0,1h 27m,Comedy,87.0,Short,< 2 hrs
Diamanti,6.7,1600.0,2h 15m,Comedy,135.0,120-150 min,2–3 hrs
A House on Fire,7.2,3500.0,1h 45m,Comedy,105.0,Standard,< 2 hrs
Summer Camp,4.5,1700.0,1h 35m,Comedy,95.0,Standard,< 2 hrs
White Snake: Afloat,6.9,577.0,2h 13m,Comedy,133.0,120-150 min,2–3 hrs
The Pee Pee Poo Poo Man,8.2,31.0,1h 19m,Comedy,79.0,Short,< 2 hrs
Takintilar,5.1,2900.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
Notice to Quit,5.7,599.0,1h 31m,Comedy,91.0,Standard,< 2 hrs
Vaazha: Biopic of a Billion Boys,7.3,4400.0,2h 5m,Comedy,125.0,120-150 min,2–3 hrs
Young Werther,5.6,286.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
Jim's Story,6.8,1100.0,1h 41m,Comedy,101.0,Standard,< 2 hrs
Standing on the Shoulders of Kitties,6.2,666.0,1h 51m,Comedy,111.0,Standard,< 2 hrs
The Problem with People,5.7,537.0,1h 42m,Comedy,102.0,Standard,< 2 hrs
The Trainer,7.2,65.0,1h 35m,Comedy,95.0,Standard,< 2 hrs
Khel Khel Mein,6.5,28000.0,2h 15m,Comedy,135.0,120-150 min,2–3 hrs
Crew,5.8,38000.0,1h 58m,Comedy,118.0,Standard,< 2 hrs
Drugstore June,5.4,1800.0,1h 31m,Comedy,91.0,Standard,< 2 hrs
Chantal in Fairyland,4.6,2700.0,1h 58m,Comedy,118.0,Standard,< 2 hrs
Love in the Big City,7.4,1700.0,1h 58m,Comedy,118.0,Standard,< 2 hrs
Beautiful Wedding,4.1,4400.0,1h 40m,Comedy,100.0,Standard,< 2 hrs
Marmalade,6.3,3800.0,1h 39m,Comedy,99.0,Standard,< 2 hrs
Vicky Vidya Ka Woh Wala Video,5.2,12000.0,2h 32m,Comedy,152.0,150+ min,2–3 hrs
Reunion,5.6,3700.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Mukadderat,7.0,1400.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Between the Temples,6.2,3100.0,1h 51m,Comedy,111.0,Standard,< 2 hrs
U Are the Universe,7.7,386.0,1h 30m,Comedy,90.0,Standard,< 2 hrs
Mars,8.1,26.0,1h 24m,Comedy,84.0,Short,< 2 hrs
Sunlight,7.7,33.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
Super Happy Forever,6.9,232.0,1h 34m,Comedy,94.0,Standard,< 2 hrs
Thelma the Unicorn,5.7,3100.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
The Other Way Around,6.4,1700.0,1h 54m,Comedy,114.0,Standard,< 2 hrs
Arthur's Whisky,4.7,994.0,1h 34m,Comedy,94.0,Standard,< 2 hrs
Modi: Three Days on the Wing of Madness,5.4,602.0,1h 48m,Comedy,108.0,Standard,< 2 hrs
Nuked,7.2,53.0,1h 26m,Comedy,86.0,Short,< 2 hrs
Ajosepo,8.9,69.0,2h 14m,Comedy,134.0,120-150 min,2–3 hrs
Hot Frosty,5.3,15000.0,1h 32m,Comedy,92.0,Standard,< 2 hrs
The Second Act,6.4,3800.0,1h 20m,Comedy,80.0,Short,< 2 hrs
Madgaon Express,7.0,41000.0,2h 23m,Comedy,143.0,120-150 min,2–3 hrs
A Little Something Extra,7.0,5200.0,1h 39m,Comedy,99.0,Standard,< 2 hrs
Space Cadet,5.0,10000.0,1h 50m,Comedy,110.0,Standard,< 2 hrs
Treasure,6.3,2200.0,1h 51m,Comedy,111.0,Standard,< 2 hrs
That Christmas,6.8,17000.0,1h 31m,Comedy,91.0,Standard,< 2 hrs
Corina,7.0,706.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
Mittran Da Challeya Truck Ni,7.7,1100.0,2h 11m,Comedy,131.0,120-150 min,2–3 hrs
This Is Me... Now,4.1,7200.0,1h 5m,Comedy,65.0,Short,< 2 hrs
Buffalo Kids,6.6,775.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
How to Date Billy Walsh,5.2,4000.0,1h 38m,Comedy,98.0,Standard,< 2 hrs
The Code,5.9,234.0,1h 38m,Comedy,98.0,Standard,< 2 hrs
The Fabulous Four,4.8,1700.0,1h 38m,Comedy,98.0,Standard,< 2 hrs
Perfect Endings,5.5,228.0,1h 40m,Comedy,100.0,Standard,< 2 hrs
The Supremes at Earl's All-You-Can-Eat,6.5,1500.0,2h 4m,Comedy,124.0,120-150 min,2–3 hrs
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4000.0,1h 22m,Comedy,82.0,Short,< 2 hrs
And Mrs,5.8,835.0,1h 51m,Comedy,111.0,Standard,< 2 hrs
Lucky Winners,6.3,1500.0,1h 43m,Comedy,103.0,Standard,< 2 hrs
Swede Caroline,5.2,289.0,1h 38m,Comedy,98.0,Standard,< 2 hrs
The Underdoggs,5.6,4600.0,1h 36m,Comedy,96.0,Standard,< 2 hrs
The Real Bros of Simi Valley: The Movie,7.0,1100.0,1h 46m,Comedy,106.0,Standard,< 2 hrs
Chapter 51,,,,Comedy,,150+ min,3–4 hrs
Boot Camp,5.8,1200.0,1h 34m,Comedy,94.0,Standard,< 2 hrs
The Best Christmas Pageant Ever,6.8,6300.0,1h 39m,Comedy,99.0,Standard,< 2 hrs
Rent Free,7.8,77.0,1h 33m,Comedy,93.0,Standard,< 2 hrs
