Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
A Sacrifice,5.0,5800.0,1h 34m,Horror,94.0,Standard,< 2 hrs
The Master and Margarita,7.2,5000.0,2h 36m,Horror,156.0,150+ min,2–3 hrs
Swap,2.9,371.0,1h 26m,Horror,86.0,Short,< 2 hrs
Blood Star,6.4,6200.0,1h 37m,Horror,97.0,Standard,< 2 hrs
Werewolves,4.4,7600.0,1h 33m,Horror,93.0,Standard,< 2 hrs
The Balconettes,5.8,1400.0,1h 44m,Horror,104.0,Standard,< 2 hrs
Afraid,5.2,15000.0,1h 24m,Horror,84.0,Short,< 2 hrs
The Twin,8.1,68.0,1h 43m,Horror,103.0,Standard,< 2 hrs
The Banished,5.6,29.0,1h 37m,Horror,97.0,Standard,< 2 hrs
Dan Da Dan: First Encounter,8.2,3000.0,1h 23m,Horror,83.0,Short,< 2 hrs
Shaitaan,6.5,55000.0,2h 12m,Horror,132.0,120-150 min,2–3 hrs
The Exorcism,4.2,12000.0,1h 35m,Horror,95.0,Standard,< 2 hrs
Humane,5.5,7600.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Bogieville,4.1,639.0,1h 48m,Horror,108.0,Standard,< 2 hrs
Ick,5.5,221.0,1h 27m,Horror,87.0,Short,< 2 hrs
Bhool Bhulaiyaa 3,4.6,78000.0,2h 38m,Horror,158.0,150+ min,2–3 hrs
V/H/S/Beyond,5.8,9900.0,1h 54m,Horror,114.0,Standard,< 2 hrs
Push,,,1h 29m,Horror,89.0,Short,< 2 hrs
Bramayugam,7.8,15000.0,2h 19m,Horror,139.0,120-150 min,2–3 hrs
Daddy's Head,5.6,5500.0,1h 32m,Horror,92.0,Standard,< 2 hrs
Outside,5.1,4800.0,2h 22m,Horror,142.0,120-150 min,2–3 hrs
Shell,6.8,78.0,1h 40m,Horror,100.0,Standard,< 2 hrs
Bagman,4.7,6300.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Queen of Bones,4.7,265.0,1h 30m,Horror,90.0,Standard,< 2 hrs
Bleeding,4.3,353.0,1h 37m,Horror,97.0,Standard,< 2 hrs
The Severed Sun,4.9,349.0,1h 20m,Horror,80.0,Short,< 2 hrs
Went Up the Hill,6.6,88.0,1h 40m,Horror,100.0,Standard,< 2 hrs
Here After,4.2,1700.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Blackwater Lane,4.6,2300.0,1h 48m,Horror,108.0,Standard,< 2 hrs
Dead Talents Society,7.0,2600.0,1h 51m,Horror,111.0,Standard,< 2 hrs
Compulsion,6.9,32.0,,Horror,,150+ min,3–4 hrs
Sumala,5.8,1200.0,1h 52m,Horror,112.0,Standard,< 2 hrs
The Last Breath,4.7,2500.0,1h 36m,Horror,96.0,Standard,< 2 hrs
Munjya,6.3,26000.0,2h 3m,Horror,123.0,120-150 min,2–3 hrs
