Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Souleymane's Story,7.6,4.1K,1h 33m,Drama
Winter Spring Summer or Fall,6.0,3.1K,1h 37m,Drama
Ordinary Angels,7.4,16K,1h 58m,Drama
Reagan,6.1,12K,2h 21m,Drama
Blitz,6.2,17K,N/A,Drama
Under Paris,5.2,37K,1h 44m,Drama
Eephus,6.8,1.1K,1h 39m,Drama
Atlas,5.6,57K,1h 58m,Drama
Lonely Planet,5.7,12K,1h 34m,Drama
High Tide,6.4,791,1h 41m,Drama
Misericordia,6.8,2.7K,1h 44m,Drama
Young Woman and the Sea,7.5,18K,2h 9m,Drama
In a Violent Nature,5.6,28K,1h 34m,Drama
Hard Truths,7.2,6.6K,1h 37m,Drama
Rebel Moon - Part Two: The Scargiver,5.3,60K,2h 2m,Drama
The Children's Train,7.4,8K,1h 46m,Drama
The End,5.5,2.4K,2h 28m,Drama
Ghostlight,7.6,6.5K,1h 55m,Drama
Santosh,7.1,2.5K,2h 8m,Drama
Vermiglio,6.9,5.1K,1h 59m,Drama
Black Dog,7.2,3.9K,1h 56m,Drama
Ask Me What You Want,3.9,1.3K,1h 54m,Drama
Maldoror,6.8,1.1K,2h 35m,Drama
Invention,6.2,97,1h 12m,Drama
The Marching Band,7.4,4.1K,1h 43m,Drama
Dìdi,7.3,14K,1h 33m,Drama
Emmanuelle,4.1,1.9K,1h 47m,Drama
Unstoppable,6.8,4.5K,1h 56m,Drama
My Dead Friend Zoe,6.5,2.9K,1h 43m,Drama
The Greatest Hits,6.2,7.7K,1h 34m,Drama
Loveable,7.7,2.7K,1h 41m,Drama
Bob Marley: One Love,6.2,35K,1h 47m,Drama
Barron's Cove,6.1,193,1h 56m,Drama
My Favourite Cake,7.4,7.9K,1h 37m,Drama
"Oh, Canada",5.6,2.3K,1h 31m,Drama
Suncoast,6.7,7.5K,1h 49m,Drama
Look Back,7.8,16K,N/A,Drama
Inside,6.8,348,1h 44m,Drama
Four Letters of Love,6.9,55,2h 5m,Drama
The Knife,7.1,56,1h 22m,Drama
The Master and Margarita,7.2,5K,2h 36m,Drama
Tina,8.2,580,2h 4m,Drama
Cloud,6.3,1.6K,2h 4m,Drama
The Uninvited,5.3,770,1h 37m,Drama
Mr. K,5.5,1.1K,1h 34m,Drama
The Tearsmith,5.2,13K,1h 43m,Drama
Peacock,7.2,674,1h 42m,Drama
Superboys of Malegaon,7.7,6K,2h 7m,Drama
The Goat Life,7.1,48K,2h 53m,Drama
Out Come the Wolves,4.7,1.7K,1h 26m,Drama
All of You,7.4,87,1h 38m,Drama
Sebastian,6.7,2.1K,1h 50m,Drama
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3.9K,2h 13m,Drama
El 47,7.2,3.7K,1h 50m,Drama
Familiar Touch,7.1,364,1h 30m,Drama
1978,5.1,660,1h 16m,Drama
Went Up the Hill,6.6,91,1h 40m,Drama
Four Mothers,7.0,512,1h 29m,Drama
Manas,7.9,219,1h 41m,Drama
Universal Language,6.9,2K,1h 29m,Drama
Escape from the 21st Century,6.4,1K,1h 38m,Drama
Kill the Jockey,6.4,1.9K,1h 36m,Drama
Manjummel Boys,8.2,29K,2h 15m,Drama
11 Rebels,6.3,752,2h 35m,Drama
Marco,6.7,23K,2h 25m,Drama
April,6.5,626,2h 14m,Drama
The Southern Chronicles,8.7,2.9K,N/A,Drama
The Short Game,N/A,N/A,1h 33m,Drama
No Way Up,4.6,11K,1h 30m,Drama
A Sacrifice,5.0,5.8K,1h 34m,Drama
Simarik,5.3,4K,1h 51m,Drama
Die Alone,5.8,4K,1h 30m,Drama
The Devil's Bath,6.6,6.8K,2h 1m,Drama
Killer Heat,5.6,14K,1h 35m,Drama
The Piano Lesson,6.2,5.1K,2h 7m,Drama
Caught by the Tides,6.7,1.7K,1h 51m,Drama
Bramayugam,7.8,15K,2h 19m,Drama
Uprising,6.6,6K,2h 6m,Drama
Boneyard,4.1,5.3K,1h 36m,Drama
Lilies Not for Me,7.0,712,1h 39m,Drama
