Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
From Contract Lover to the Billionaire's Bride,6.9,561,1h 24m,Romance
The Dead Thing,4.7,1K,1h 34m,Romance
The Time of Fever,8.0,750,1h 41m,Romance
Chosen Family,4.7,523,1h 28m,Romance
Hear Me: Our Summer,7.5,958,1h 49m,Romance
Else,5.8,306,1h 42m,Romance
Bau: Artist at War,7.2,65,2h 10m,Romance
Do Aur Do Pyaar,6.4,12K,2h 20m,Romance
Mai,6.8,1.6K,2h 11m,Romance
Murder Mubarak,5.8,51K,2h 20m,Romance
The Groomsmen Last Dance,6.9,383,1h 24m,Romance
Seven Seas Seven Hills,8.6,98,1h 30m,Romance
Her Story,7.6,2K,2h 3m,Romance
Bad Newz,4.7,26K,2h 22m,Romance
Art of Love,4.6,2.5K,1h 39m,Romance
Ajosepo,8.8,70,2h 14m,Romance
Ipar Adalah Maut,7.0,1.3K,2h 11m,Romance
Haunted Heart,4.8,522,2h 8m,Romance
Dilan 1983,6.3,246,1h 56m,Romance
The Groomsmen: Second Chances,6.1,474,1h 24m,Romance
My Name Is Loh Kiwan,6.7,4.5K,2h 11m,Romance
Qalb,6.5,2.4K,2h 27m,Romance
The Glory of Life,6.6,466,1h 38m,Romance
Come Closer,6.9,300,1h 47m,Romance
Éden & Charlie,7.6,15,N/A,Romance
Dying Briefly,5.9,56,1h 18m,Romance
Timestalker,5.5,3.1K,1h 29m,Romance
Detective Conan: The Million-Dollar Pentagram,6.7,1.6K,1h 51m,Romance
The Air He Breathes,6.5,438,1h 46m,Romance
Amar Singh Chamkila,7.8,17K,2h 25m,Romance
The Swedish Torpedo,6.0,282,N/A,Romance
How to Date Billy Walsh,5.2,4K,1h 38m,Romance
Two to One,6.1,860,1h 56m,Romance
Love Switch,6.1,282,1h 29m,Romance
Cinderella's Curse,3.4,1.4K,1h 22m,Romance
Meeting Funmi's Parents,8.7,17,N/A,Romance
Auron Mein Kahan Dum Tha,6.4,41K,2h 30m,Romance
Freedom,5.9,1.5K,1h 50m,Romance
0000 Kilometre,2.7,282,1h 50m,Romance
Romeo,6.1,1.3K,2h 30m,Romance
Love at 39 Degrees,5.6,1.5K,1h 55m,Romance
The Glassworker,7.2,1.9K,1h 38m,Romance
Layla,6.1,473,1h 40m,Romance
Miss You,6.1,3.2K,2h 8m,Romance
Perfect Endings,5.5,228,1h 40m,Romance
Rasavathi,6.4,593,2h 28m,Romance
Passport to Love,6.2,431,1h 28m,Romance
Ibbani Tabbida Ileyali,7.4,876,2h 40m,Romance
The Groomsmen: First Look,6.1,413,1h 22m,Romance
Goyo,6.6,2.3K,1h 46m,Romance
Shigatsu ni nareba kanojo wa,6.2,469,1h 48m,Romance
Roti Kapda Romance,5.8,2.5K,2h 33m,Romance
X & Y,8.1,17,1h 41m,Romance
Beauty and the Billionaire: Bali,5.8,235,1h 31m,Romance
Given the Movie: Hiiragi Mix,7.7,240,1h 10m,Romance
Enchanting Christmas,6.3,368,1h 31m,Romance
Drained,4.5,330,1h 47m,Romance
Believe in Christmas,6.1,862,1h 30m,Romance
Kill Me If You Dare,4.6,1.4K,1h 34m,Romance
O2,6.6,7.9K,1h 45m,Romance
Teasing Master Takagi-san Movie,6.6,358,1h 59m,Romance
Badaa Saat Fi Yawman Ma,5.8,339,1h 40m,Romance
Azzamine,7.0,121,1h 44m,Romance
Murphy,7.0,2.4K,2h 16m,Romance
"Walter, Grace & The Submarine",9.3,8,1h 40m,Romance
My Sassy Girl,5.1,148,1h 57m,Romance
Christmas on the Ranch,6.0,140,1h 26m,Romance
Langue Étrangère,6.6,582,1h 41m,Romance
Savi,6.1,35K,2h 6m,Romance
Sex Love Venice,4.4,370,1h 42m,Romance
Three Friends,6.6,861,1h 57m,Romance
First Taste,4.2,322,1h 37m,Romance
Angithee 3,8.1,64,1h 39m,Romance
Siddharth Roy,6.3,2.9K,2h 28m,Romance
Ek Anjaan Rishtey Ka Guilt 3,7.9,71,1h 44m,Romance
A '90s Christmas,6.0,1.2K,1h 30m,Romance
Kisko Tha Pata,6.9,21,2h 15m,Romance
Blame the Game,5.4,5.4K,1h 32m,Romance
A Christmas Castle Proposal: A Royal in Paradise 2,6.3,346,N/A,Romance
Plan B,6.0,1.4K,1h 30m,Romance
Wild Wild Punjab,6.2,16K,1h 49m,Romance
Why Do You?,5.3,478,1h 43m,Romance
3391 Kilometres,4.3,1.2K,1h 50m,Romance
Stag,4.6,477,1h 27m,Romance
Phir Aayi Hasseen Dillruba,5.8,7K,2h 12m,Romance
Here Now,4.9,483,1h 58m,Romance
Guilty Pleasure,4.7,177,1h 59m,Romance
Tillu Square,6.6,3.5K,2h 17m,Romance
Cinderella's Revenge,3.7,1.2K,1h 25m,Romance
Varshangalkku Shesham,6.6,4.5K,2h 46m,Romance
Still Fabulous,4.9,879,1h 32m,Romance
"Love, Divided",6.0,4.8K,1h 38m,Romance
Given 3: To the Sea,7.5,153,1h 20m,Romance
Zenithal,4.8,115,1h 20m,Romance
Miracle Mile,7.6,38,1h 22m,Romance
Krista,5.5,61,N/A,Romance
DeAr,5.2,1.7K,2h 12m,Romance
Futra Days,4.2,161,1h 39m,Romance
When in Rome,6.1,802,1h 38m,Romance
Paalum Pazhavum,4.9,193,2h 27m,Romance
Love Reddy,8.0,2.3K,2h 18m,Romance
Gone Running,7.0,4.4K,1h 45m,Romance
A European Christmas,4.7,199,1h 30m,Romance
Aichaku,6.9,399,1h 58m,Romance
My Future You,7.4,304,1h 49m,Romance
The Best Friend,6.4,147,1h 36m,Romance
Honeymoonish,5.3,1.6K,1h 40m,Romance
"Hello, Love, Again",6.7,948,2h 2m,Romance
Kang Mak,6.4,903,2h 2m,Romance
Letuchiy korabl,3.4,381,1h 40m,Romance
Raseeli Raatein,6.7,12,1h 31m,Romance
Five Blind Dates,5.1,2K,1h 23m,Romance
Undergrads,5.1,65,1h 6m,Romance
Meet Me Next Christmas,5.7,8.7K,1h 45m,Romance
The Holiday Exchange,5.6,426,1h 30m,Romance
Love Me If You Dare,4.3,485,2h 8m,Romance
Previously Saved Version,5.5,468,1h 57m,Romance
A Vintage Christmas,6.5,372,N/A,Romance
Bachhala Malli,8.2,4K,2h 20m,Romance
Chanchal Haseena,7.3,39,1h 38m,Romance
Chijin no ai,8.1,9,1h 45m,Romance
Love Story,5.4,443,2h 5m,Romance
Mr. Bachchan,3.6,5.3K,2h 30m,Romance
Jatt & Juliet 3,5.4,1.9K,2h 15m,Romance
Umjolo: The Gone Girl,4.4,288,1h 32m,Romance
We're All Gonna Die,8.1,98,1h 50m,Romance
Elevator,5.2,188,1h 35m,Romance
Fake Boyfriend,9.0,18,1h 55m,Romance
